Record_ID,Country,State_Region,Date,Confirmed_Cases,Deaths,Recovered,Active_Cases,Tests_Conducted,Vaccination_Rate,Hospitalization_Rate,ICU_Cases
COVID_000801,Turkey,Antalya,2023-11-24,459.0,,432.0,0.0,1980.0,84.3,16.6,0.0
COVID_004034,Spain,Catalonia,2021-07-14,509.0,56.0,448.0,5.0,2056.0,91.6,18.8,0.0
COVID_003168,USA,Texas,2020-06-08,483.0,6.0,431.0,46.0,1932.0,84.6,3.6,0.0
COVID_006493,Iran,Tehran,2020-09-24,498.0,69.0,309.0,120.0,2055.0,57.4,15.5,2.0
COVID_017571,South Korea,Gwangju,2021-02-03,480.0,68.0,396.0,16.0,1997.0,93.0,16.3,0.0
COVID_006095,Iran,East Azerbaijan,2023-04-04,444.0,48.0,367.0,29.0,1970.0,37.9,19.7,1.0
COVID_002736,India,Karnataka,2023-10-22,520.0,6.0,323.0,191.0,2018.0,12.3,6.1,1.0
COVID_014987,South Korea,Gyeonggi,2020-01-15,520.0,55.0,480.0,0.0,2074.0,61.8,2.4,0.0
COVID_011751,Germany,Lower Saxony,2021-12-22,523.0,5.0,410.0,108.0,2019.0,31.8,15.9,2.0
COVID_015907,USA,Georgia,2021-10-16,490.0,39.0,380.0,71.0,1972.0,81.8,15.5,1.0
COVID_003630,Italy,Lazio,2022-06-13,475.0,19.0,307.0,149.0,1978.0,46.3,12.2,2.0
COVID_012268,Turkey,Konya,2020-04-04,492.0,49.0,339.0,104.0,2008.0,48.0,18.1,
COVID_008322,South Korea,Gyeonggi,2022-03-20,519.0,72.0,418.0,29.0,1960.0,65.0,13.5,0.0
COVID_003606,USA,Illinois,2022-08-16,494.0,11.0,402.0,81.0,2018.0,46.0,18.1,1.0
COVID_000265,Mexico,Baja California,2022-10-02,484.0,23.0,356.0,105.0,2046.0,13.4,17.6,2.0
COVID_003783,India,Uttar Pradesh,2022-04-21,472.0,32.0,388.0,52.0,1974.0,74.5,4.9,0.0
COVID_008641,Germany,Lower Saxony,2021-02-25,495.0,68.0,334.0,93.0,1981.0,85.9,3.3,0.0
COVID_002009,France,Provence-Alpes-Cote d'Azur,2021-05-21,487.0,63.0,344.0,80.0,2007.0,92.6,17.1,1.0
COVID_015781,South Africa,Northern Cape,2023-01-13,496.0,22.0,468.0,6.0,,14.6,7.3,0.0
COVID_014880,USA,North Carolina,2021-02-20,461.0,48.0,334.0,79.0,2015.0,70.6,11.9,1.0
COVID_008581,France,Normandy,2023-12-06,523.0,69.0,321.0,133.0,1994.0,26.8,10.3,1.0
COVID_008474,Iran,Fars,2021-12-16,491.0,49.0,329.0,113.0,1993.0,33.9,12.3,1.0
COVID_001924,Spain,Galicia,2020-08-06,487.0,58.0,458.0,0.0,1985.0,56.4,4.0,0.0
COVID_017398,Germany,North Rhine-Westphalia,2023-02-14,511.0,12.0,433.0,66.0,2044.0,59.0,18.0,1.0
COVID_007958,France,Ile-de-France,2022-08-18,482.0,57.0,427.0,0.0,2049.0,66.3,14.2,0.0
COVID_017436,Australia,Victoria,2023-12-22,507.0,29.0,338.0,140.0,2034.0,48.4,17.9,3.0
COVID_002727,South Africa,Northern Cape,2022-08-11,498.0,60.0,350.0,88.0,1992.0,19.0,4.3,0.0
COVID_002745,France,Provence-Alpes-Cote d'Azur,2022-02-20,497.0,33.0,354.0,110.0,1944.0,49.0,7.7,1.0
COVID_017542,South Korea,Gwangju,2021-08-26,514.0,75.0,359.0,80.0,2075.0,12.1,9.4,1.0
COVID_005670,France,Nouvelle-Aquitaine,2022-03-02,511.0,63.0,319.0,129.0,1924.0,50.1,8.2,1.0
COVID_015315,India,West Bengal,2021-01-26,506.0,27.0,387.0,92.0,1979.0,52.2,2.9,0.0
COVID_008170,Germany,Baden-Wurttemberg,2020-02-05,515.0,69.0,364.0,82.0,2048.0,51.0,4.1,0.0
COVID_003722,Russia,Moscow Oblast,2022-08-11,494.0,26.0,398.0,70.0,1958.0,33.0,15.4,1.0
COVID_010389,South Korea,Gangwon,2023-09-09,549.0,64.0,497.0,0.0,1981.0,48.0,11.9,0.0
COVID_012683,Canada,Prince Edward Island,2020-11-28,486.0,20.0,329.0,137.0,1989.0,,6.8,1.0
COVID_005816,Canada,British Columbia,2023-12-12,503.0,55.0,,128.0,2014.0,94.6,6.3,1.0
COVID_011063,UK,Wales,2022-08-24,487.0,8.0,375.0,104.0,2025.0,64.8,9.6,1.0
COVID_012789,India,Tamil Nadu,2022-10-09,504.0,54.0,365.0,85.0,2065.0,19.3,5.6,0.0
COVID_014084,Brazil,Ceara,2022-02-17,499.0,71.0,337.0,91.0,1982.0,62.1,14.7,1.0
COVID_015557,India,Maharashtra,2022-02-12,503.0,48.0,398.0,57.0,1985.0,88.5,3.8,0.0
COVID_013241,Mexico,Nuevo Leon,2021-10-21,494.0,41.0,320.0,133.0,2001.0,74.4,6.7,1.0
COVID_003633,Brazil,Pernambuco,2020-12-28,511.0,36.0,485.0,0.0,2010.0,,10.2,0.0
COVID_015386,Spain,Galicia,2023-04-25,474.0,54.0,,14.0,2071.0,55.2,4.4,0.0
COVID_013036,Italy,Sicily,2021-02-15,476.0,56.0,358.0,62.0,2000.0,40.2,18.4,1.0
COVID_016790,Brazil,Bahia,2022-06-27,514.0,63.0,466.0,0.0,2058.0,22.5,10.1,0.0
COVID_007329,UK,Wales,2022-11-12,505.0,57.0,366.0,82.0,2031.0,16.5,18.0,1.0
COVID_003465,Germany,Bavaria,2023-08-21,506.0,48.0,309.0,149.0,1984.0,88.1,6.7,1.0
COVID_002543,Italy,Veneto,2023-12-27,499.0,45.0,444.0,10.0,2025.0,93.4,5.1,0.0
COVID_000622,Australia,New South Wales,2022-08-14,496.0,51.0,359.0,86.0,1994.0,42.6,12.9,1.0
COVID_009965,Italy,Lazio,2020-07-24,,55.0,419.0,32.0,2079.0,82.1,15.0,0.0
COVID_003855,Iran,Kerman,2020-11-20,500.0,57.0,391.0,52.0,2030.0,95.0,11.1,1.0
COVID_008209,Mexico,State of Mexico,2020-04-09,454.0,8.0,279.0,167.0,1969.0,67.5,4.7,1.0
COVID_005121,Canada,Prince Edward Island,2021-08-18,512.0,58.0,394.0,60.0,,20.9,3.6,0.0
COVID_007394,Brazil,Minas Gerais,2021-06-01,500.0,43.0,334.0,123.0,2025.0,77.3,14.1,2.0
COVID_014318,France,Occitanie,2022-08-19,530.0,27.0,393.0,110.0,2067.0,17.1,8.4,1.0
COVID_004213,Canada,Saskatchewan,2021-07-28,510.0,46.0,,38.0,2046.0,35.8,11.7,0.0
COVID_004214,USA,Georgia,2020-09-09,493.0,72.0,450.0,0.0,1952.0,83.6,9.6,0.0
COVID_008347,China,Henan,2023-11-16,462.0,8.0,408.0,46.0,1976.0,,12.3,1.0
COVID_012955,Spain,Andalusia,2020-08-25,507.0,67.0,459.0,0.0,1930.0,44.9,,0.0
COVID_009010,South Korea,Gwangju,2021-08-05,485.0,11.0,385.0,89.0,1992.0,10.8,10.4,1.0
COVID_000921,USA,Texas,2022-04-20,524.0,33.0,412.0,79.0,2026.0,40.2,10.3,1.0
COVID_017284,Italy,Veneto,2023-08-27,516.0,62.0,422.0,32.0,1956.0,90.8,11.4,0.0
COVID_010735,Brazil,Sao Paulo,2022-02-21,526.0,19.0,410.0,97.0,1932.0,82.5,12.5,1.0
COVID_000822,UK,England,2023-12-23,515.0,57.0,381.0,77.0,2014.0,93.9,6.0,0.0
COVID_003297,Turkey,Gaziantep,2022-12-04,497.0,46.0,448.0,3.0,1945.0,48.5,4.0,0.0
COVID_010102,India,Karnataka,2023-01-22,491.0,65.0,370.0,56.0,1988.0,12.8,9.7,1.0
COVID_009769,Turkey,Kocaeli,2022-09-03,523.0,12.0,358.0,153.0,2031.0,83.6,14.9,2.0
COVID_004382,Brazil,Goias,2020-10-17,443.0,12.0,364.0,67.0,2111.0,71.8,2.2,0.0
COVID_004989,Iran,Tehran,2022-07-12,484.0,32.0,308.0,144.0,1939.0,70.5,18.7,3.0
COVID_010980,Japan,Aichi,2023-11-15,489.0,65.0,304.0,120.0,2024.0,92.8,10.9,1.0
COVID_010333,Spain,Andalusia,2021-03-02,484.0,64.0,296.0,124.0,2039.0,50.1,5.5,1.0
COVID_010395,France,Auvergne-Rhone-Alpes,2022-10-05,494.0,63.0,359.0,,2077.0,31.8,16.6,1.0
COVID_003247,Russia,Rostov Oblast,2023-09-06,504.0,53.0,306.0,145.0,1977.0,75.8,8.3,1.0
COVID_017582,South Africa,Eastern Cape,2022-06-09,466.0,51.0,350.0,65.0,1960.0,75.7,10.7,1.0
COVID_002367,Russia,Saint Petersburg,2020-10-27,507.0,68.0,333.0,,2002.0,90.0,12.0,1.0
COVID_002291,Spain,Madrid,2021-06-08,518.0,12.0,324.0,182.0,2048.0,91.6,5.8,1.0
COVID_015079,Turkey,Istanbul,2022-01-28,464.0,42.0,303.0,119.0,1925.0,66.0,3.2,0.0
COVID_011226,Brazil,Sao Paulo,2023-04-10,487.0,37.0,303.0,147.0,1988.0,79.4,4.2,1.0
COVID_012711,UK,England,2020-08-07,515.0,73.0,401.0,41.0,1996.0,72.3,4.7,0.0
COVID_014569,Russia,Sverdlovsk Oblast,2020-03-18,508.0,48.0,425.0,35.0,2033.0,81.5,17.3,1.0
COVID_010941,Australia,Australian Capital Territory,2022-02-04,518.0,9.0,448.0,61.0,,64.9,9.7,1.0
COVID_009427,USA,California,2023-06-17,535.0,60.0,328.0,147.0,1948.0,16.7,3.6,1.0
COVID_000929,USA,North Carolina,2021-04-03,488.0,27.0,390.0,71.0,2017.0,47.4,10.2,1.0
COVID_013916,France,Normandy,2020-05-19,480.0,40.0,307.0,133.0,,36.6,18.6,2.0
